id_sample,sample_name,plot,rep,experiment,environment,season,measurment,sampling_identifier,Height (cm),Width (cm),Date Of Measurement,PictureOfplot,NotesOfplot,PictureOfexperiment,NotesOfexperiment,Audio
45_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,45,2,ACRE-Biomass,Late,y22,width-height,sampling-2,60,62,7/28/2022,,,,,
45_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,45,2,ACRE-Biomass,Late,y22,width-height,sampling-2,59,58,7/28/2022,,,,,
45_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,45,2,ACRE-Biomass,Late,y22,width-height,sampling-2,61,60,7/28/2022,,,,,
45_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,45,2,ACRE-Biomass,Late,y22,width-height,sampling-2,60,56,7/28/2022,,,,,
46_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,46,2,ACRE-Biomass,Late,y22,width-height,sampling-2,52,70,7/28/2022,,,,,
46_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,46,2,ACRE-Biomass,Late,y22,width-height,sampling-2,65,71,7/28/2022,,,,,
46_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,46,2,ACRE-Biomass,Late,y22,width-height,sampling-2,50,68,7/28/2022,,,,,
46_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,46,2,ACRE-Biomass,Late,y22,width-height,sampling-2,54,66,7/28/2022,,,,,
47_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,47,2,ACRE-Biomass,Late,y22,width-height,sampling-2,59,60,7/28/2022,,,,,
47_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,47,2,ACRE-Biomass,Late,y22,width-height,sampling-2,61,61,7/28/2022,,,,,
47_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,47,2,ACRE-Biomass,Late,y22,width-height,sampling-2,61,64,7/28/2022,,,,,
47_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,47,2,ACRE-Biomass,Late,y22,width-height,sampling-2,54,59,7/28/2022,,,,,
48_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,48,2,ACRE-Biomass,Late,y22,width-height,sampling-2,62,67,7/28/2022,,,,,
48_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,48,2,ACRE-Biomass,Late,y22,width-height,sampling-2,68,72,7/28/2022,,,,,
48_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,48,2,ACRE-Biomass,Late,y22,width-height,sampling-2,58,68,7/28/2022,,,,,
48_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,48,2,ACRE-Biomass,Late,y22,width-height,sampling-2,62,59,7/28/2022,,,,,
49_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,49,2,ACRE-Biomass,Late,y22,width-height,sampling-2,67,70,7/28/2022,,,,,
49_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,49,2,ACRE-Biomass,Late,y22,width-height,sampling-2,74,67,7/28/2022,,,,,
49_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,49,2,ACRE-Biomass,Late,y22,width-height,sampling-2,61,68,7/28/2022,,,,,
49_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,49,2,ACRE-Biomass,Late,y22,width-height,sampling-2,62,60,7/28/2022,,,,,
50_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,50,2,ACRE-Biomass,Late,y22,width-height,sampling-2,61,57,7/28/2022,,,,,
50_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,50,2,ACRE-Biomass,Late,y22,width-height,sampling-2,62,58,7/28/2022,,,,,
50_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,50,2,ACRE-Biomass,Late,y22,width-height,sampling-2,56,50,7/28/2022,,,,,
50_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,50,2,ACRE-Biomass,Late,y22,width-height,sampling-2,50,61,7/28/2022,,,,,
51_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,51,3,ACRE-Biomass,Late,y22,width-height,sampling-2,64,60,7/28/2022,,,,,
51_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,51,3,ACRE-Biomass,Late,y22,width-height,sampling-2,68,68,7/28/2022,,,,,
51_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,51,3,ACRE-Biomass,Late,y22,width-height,sampling-2,58,60,7/28/2022,,,,,
51_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,51,3,ACRE-Biomass,Late,y22,width-height,sampling-2,67,66,7/28/2022,,,,,
52_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,52,3,ACRE-Biomass,Late,y22,width-height,sampling-2,65,61,7/28/2022,,,,,
52_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,52,3,ACRE-Biomass,Late,y22,width-height,sampling-2,52,46,7/28/2022,,,,,
52_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,52,3,ACRE-Biomass,Late,y22,width-height,sampling-2,58,55,7/28/2022,,,,,
52_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,52,3,ACRE-Biomass,Late,y22,width-height,sampling-2,62,65,7/28/2022,,,,,
53_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,53,3,ACRE-Biomass,Late,y22,width-height,sampling-2,64,51,7/28/2022,,,,,
53_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,53,3,ACRE-Biomass,Late,y22,width-height,sampling-2,59,49,7/28/2022,,,,,
53_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,53,3,ACRE-Biomass,Late,y22,width-height,sampling-2,70,50,7/28/2022,,,,,
53_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,53,3,ACRE-Biomass,Late,y22,width-height,sampling-2,61,49,7/28/2022,,,,,
54_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,54,3,ACRE-Biomass,Late,y22,width-height,sampling-2,54,53,7/28/2022,,,,,
54_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,54,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,53,7/28/2022,,,,,
54_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,54,3,ACRE-Biomass,Late,y22,width-height,sampling-2,50,52,7/28/2022,,,,,
54_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,54,3,ACRE-Biomass,Late,y22,width-height,sampling-2,55,54,7/28/2022,,,,,
55_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,55,3,ACRE-Biomass,Late,y22,width-height,sampling-2,55,60,7/28/2022,,,,,
55_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,55,3,ACRE-Biomass,Late,y22,width-height,sampling-2,59,54,7/28/2022,,,,,
55_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,55,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,62,7/28/2022,,,,,
55_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,55,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,60,7/28/2022,,,,,
56_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,56,3,ACRE-Biomass,Late,y22,width-height,sampling-2,61,60,7/28/2022,,,,,
56_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,56,3,ACRE-Biomass,Late,y22,width-height,sampling-2,51,55,7/28/2022,,,,,
56_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,56,3,ACRE-Biomass,Late,y22,width-height,sampling-2,56,58,7/28/2022,,,,,
56_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,56,3,ACRE-Biomass,Late,y22,width-height,sampling-2,53,60,7/28/2022,,,,,
57_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,57,3,ACRE-Biomass,Late,y22,width-height,sampling-2,55,61,7/28/2022,,,,,
57_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,57,3,ACRE-Biomass,Late,y22,width-height,sampling-2,57,68,7/28/2022,,,,,
57_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,57,3,ACRE-Biomass,Late,y22,width-height,sampling-2,46,69,7/28/2022,,,,,
57_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,57,3,ACRE-Biomass,Late,y22,width-height,sampling-2,46,60,7/28/2022,,,,,
58_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,58,3,ACRE-Biomass,Late,y22,width-height,sampling-2,63,60,7/28/2022,,,,,
58_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,58,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,60,7/28/2022,,,,,
58_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,58,3,ACRE-Biomass,Late,y22,width-height,sampling-2,52,60,7/28/2022,,,,,
58_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,58,3,ACRE-Biomass,Late,y22,width-height,sampling-2,50,57,7/28/2022,,,,,
59_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,59,3,ACRE-Biomass,Late,y22,width-height,sampling-2,59,65,7/28/2022,,,,,
59_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,59,3,ACRE-Biomass,Late,y22,width-height,sampling-2,57,57,7/28/2022,,,,,
59_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,59,3,ACRE-Biomass,Late,y22,width-height,sampling-2,53,54,7/28/2022,,,,,
59_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,59,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,59,7/28/2022,,,,,
60_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,60,3,ACRE-Biomass,Late,y22,width-height,sampling-2,56,68,7/28/2022,,,,,
60_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,60,3,ACRE-Biomass,Late,y22,width-height,sampling-2,56,62,7/28/2022,,,,,
60_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,60,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,64,7/28/2022,,,,,
60_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,60,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,63,7/28/2022,,,,,
61_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,61,3,ACRE-Biomass,Late,y22,width-height,sampling-2,62,70,7/28/2022,,,,,
61_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,61,3,ACRE-Biomass,Late,y22,width-height,sampling-2,59,61,7/28/2022,,,,,
61_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,61,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,59,7/28/2022,,,,,
61_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,61,3,ACRE-Biomass,Late,y22,width-height,sampling-2,59,56,7/28/2022,,,,,
62_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,62,3,ACRE-Biomass,Late,y22,width-height,sampling-2,55,61,7/28/2022,,,,,
62_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,62,3,ACRE-Biomass,Late,y22,width-height,sampling-2,57,55,7/28/2022,,,,,
62_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,62,3,ACRE-Biomass,Late,y22,width-height,sampling-2,53,47,7/28/2022,,,,,
62_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,62,3,ACRE-Biomass,Late,y22,width-height,sampling-2,50,50,7/28/2022,,,,,
63_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,63,3,ACRE-Biomass,Late,y22,width-height,sampling-2,75,54,7/28/2022,,,,,
63_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,63,3,ACRE-Biomass,Late,y22,width-height,sampling-2,69,60,7/28/2022,,,,,
63_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,63,3,ACRE-Biomass,Late,y22,width-height,sampling-2,72,60,7/28/2022,,,,,
63_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,63,3,ACRE-Biomass,Late,y22,width-height,sampling-2,59,51,7/28/2022,,,,,
64_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,64,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,70,7/28/2022,,,,,
64_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,64,3,ACRE-Biomass,Late,y22,width-height,sampling-2,63,71,7/28/2022,,,,,
64_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,64,3,ACRE-Biomass,Late,y22,width-height,sampling-2,59,59,7/28/2022,,,,,
64_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,64,3,ACRE-Biomass,Late,y22,width-height,sampling-2,61,62,7/28/2022,,,,,
65_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,65,3,ACRE-Biomass,Late,y22,width-height,sampling-2,56,60,7/28/2022,,,,,
65_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,65,3,ACRE-Biomass,Late,y22,width-height,sampling-2,57,60,7/28/2022,,,,,
65_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,65,3,ACRE-Biomass,Late,y22,width-height,sampling-2,50,52,7/28/2022,,,,,
65_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,65,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,60,7/28/2022,,,,,
66_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,66,3,ACRE-Biomass,Late,y22,width-height,sampling-2,58,55,7/28/2022,,,,,
66_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,66,3,ACRE-Biomass,Late,y22,width-height,sampling-2,57,52,7/28/2022,,,,,
66_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,66,3,ACRE-Biomass,Late,y22,width-height,sampling-2,50,63,7/28/2022,,,,,
66_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,66,3,ACRE-Biomass,Late,y22,width-height,sampling-2,54,50,7/28/2022,,,,,
67_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,67,3,ACRE-Biomass,Late,y22,width-height,sampling-2,57,60,7/28/2022,,,,,
67_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,67,3,ACRE-Biomass,Late,y22,width-height,sampling-2,61,60,7/28/2022,,,,,
67_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,67,3,ACRE-Biomass,Late,y22,width-height,sampling-2,51,60,7/28/2022,,,,,
67_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,67,3,ACRE-Biomass,Late,y22,width-height,sampling-2,53,53,7/28/2022,,,,,
68_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,68,3,ACRE-Biomass,Late,y22,width-height,sampling-2,58,60,7/28/2022,,,,,
68_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,68,3,ACRE-Biomass,Late,y22,width-height,sampling-2,53,56,7/28/2022,,,,,
68_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,68,3,ACRE-Biomass,Late,y22,width-height,sampling-2,58,66,7/28/2022,,,,,
68_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,68,3,ACRE-Biomass,Late,y22,width-height,sampling-2,61,70,7/28/2022,,,,,
69_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,69,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,63,7/28/2022,,,,,
69_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,69,3,ACRE-Biomass,Late,y22,width-height,sampling-2,62,62,7/28/2022,,,,,
69_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,69,3,ACRE-Biomass,Late,y22,width-height,sampling-2,66,74,7/28/2022,,,,,
69_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,69,3,ACRE-Biomass,Late,y22,width-height,sampling-2,65,59,7/28/2022,,,,,
70_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,70,3,ACRE-Biomass,Late,y22,width-height,sampling-2,65,70,7/28/2022,,,,,
70_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,70,3,ACRE-Biomass,Late,y22,width-height,sampling-2,50,62,7/28/2022,,,,,
70_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,70,3,ACRE-Biomass,Late,y22,width-height,sampling-2,45,54,7/28/2022,,,,,
70_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,70,3,ACRE-Biomass,Late,y22,width-height,sampling-2,55,51,7/28/2022,,,,,
71_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,71,3,ACRE-Biomass,Late,y22,width-height,sampling-2,59,70,7/28/2022,,,,,
71_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,71,3,ACRE-Biomass,Late,y22,width-height,sampling-2,63,63,7/28/2022,,,,,
71_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,71,3,ACRE-Biomass,Late,y22,width-height,sampling-2,62,64,7/28/2022,,,,,
71_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,71,3,ACRE-Biomass,Late,y22,width-height,sampling-2,65,70,7/28/2022,,,,,
72_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,72,3,ACRE-Biomass,Late,y22,width-height,sampling-2,56,50,7/28/2022,,,,,
72_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,72,3,ACRE-Biomass,Late,y22,width-height,sampling-2,63,58,7/28/2022,,,,,
72_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,72,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,58,7/28/2022,,,,,
72_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,72,3,ACRE-Biomass,Late,y22,width-height,sampling-2,63,58,7/28/2022,,,,,
73_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,73,3,ACRE-Biomass,Late,y22,width-height,sampling-2,70,65,7/28/2022,,,,,
73_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,73,3,ACRE-Biomass,Late,y22,width-height,sampling-2,72,60,7/28/2022,,,,,
73_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,73,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,65,7/28/2022,,,,,
73_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,73,3,ACRE-Biomass,Late,y22,width-height,sampling-2,67,64,7/28/2022,,,,,
74_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,74,3,ACRE-Biomass,Late,y22,width-height,sampling-2,60,60,7/28/2022,,,,,
74_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,74,3,ACRE-Biomass,Late,y22,width-height,sampling-2,53,63,7/28/2022,,,,,
74_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,74,3,ACRE-Biomass,Late,y22,width-height,sampling-2,57,59,7/28/2022,,,,,
74_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,74,3,ACRE-Biomass,Late,y22,width-height,sampling-2,55,58,7/28/2022,,,,,
75_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,75,3,ACRE-Biomass,Late,y22,width-height,sampling-2,64,62,7/28/2022,,,,,
75_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,75,3,ACRE-Biomass,Late,y22,width-height,sampling-2,59,50,7/28/2022,,,,,
75_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,75,3,ACRE-Biomass,Late,y22,width-height,sampling-2,55,61,7/28/2022,,,,,
75_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,75,3,ACRE-Biomass,Late,y22,width-height,sampling-2,43,65,7/28/2022,,,,,
76_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,76,4,ACRE-Biomass,Late,y22,width-height,sampling-2,54,60,7/28/2022,,,,,
76_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,76,4,ACRE-Biomass,Late,y22,width-height,sampling-2,56,59,7/28/2022,,,,,
76_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,76,4,ACRE-Biomass,Late,y22,width-height,sampling-2,57,55,7/28/2022,,,,,
76_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,76,4,ACRE-Biomass,Late,y22,width-height,sampling-2,57,60,7/28/2022,,,,,
77_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,77,4,ACRE-Biomass,Late,y22,width-height,sampling-2,58,61,7/28/2022,,,,,
77_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,77,4,ACRE-Biomass,Late,y22,width-height,sampling-2,70,60,7/28/2022,,,,,
77_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,77,4,ACRE-Biomass,Late,y22,width-height,sampling-2,63,62,7/28/2022,,,,,
77_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,77,4,ACRE-Biomass,Late,y22,width-height,sampling-2,61,52,7/28/2022,,,,,
78_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,78,4,ACRE-Biomass,Late,y22,width-height,sampling-2,60,60,7/28/2022,,,,,
78_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,78,4,ACRE-Biomass,Late,y22,width-height,sampling-2,60,70,7/28/2022,,,,,
78_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,78,4,ACRE-Biomass,Late,y22,width-height,sampling-2,58,68,7/28/2022,,,,,
78_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,78,4,ACRE-Biomass,Late,y22,width-height,sampling-2,62,67,7/28/2022,,,,,
79_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,79,4,ACRE-Biomass,Late,y22,width-height,sampling-2,61,54,7/28/2022,,,,,
79_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,79,4,ACRE-Biomass,Late,y22,width-height,sampling-2,55,51,7/28/2022,,,,,
79_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,79,4,ACRE-Biomass,Late,y22,width-height,sampling-2,56,60,7/28/2022,,,,,
79_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,79,4,ACRE-Biomass,Late,y22,width-height,sampling-2,52,61,7/28/2022,,,,,
80_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,80,4,ACRE-Biomass,Late,y22,width-height,sampling-2,53,60,7/28/2022,,,,,
80_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,80,4,ACRE-Biomass,Late,y22,width-height,sampling-2,60,62,7/28/2022,,,,,
80_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,80,4,ACRE-Biomass,Late,y22,width-height,sampling-2,60,64,7/28/2022,,,,,
80_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,80,4,ACRE-Biomass,Late,y22,width-height,sampling-2,60,64,7/28/2022,,,,,
81_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,81,4,ACRE-Biomass,Late,y22,width-height,sampling-2,60,54,7/28/2022,,,,,
81_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,81,4,ACRE-Biomass,Late,y22,width-height,sampling-2,60,55,7/28/2022,,,,,
81_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,81,4,ACRE-Biomass,Late,y22,width-height,sampling-2,64,61,7/28/2022,,,,,
81_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,81,4,ACRE-Biomass,Late,y22,width-height,sampling-2,57,60,7/28/2022,,,,,
82_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,82,4,ACRE-Biomass,Late,y22,width-height,sampling-2,53,63,7/28/2022,,,,,
82_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,82,4,ACRE-Biomass,Late,y22,width-height,sampling-2,50,64,7/28/2022,,,,,
82_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,82,4,ACRE-Biomass,Late,y22,width-height,sampling-2,51,64,7/28/2022,,,,,
82_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,82,4,ACRE-Biomass,Late,y22,width-height,sampling-2,50,62,7/28/2022,,,,,
83_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,83,4,ACRE-Biomass,Late,y22,width-height,sampling-2,61,67,7/28/2022,,,,,
83_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,83,4,ACRE-Biomass,Late,y22,width-height,sampling-2,63,65,7/28/2022,,,,,
83_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,83,4,ACRE-Biomass,Late,y22,width-height,sampling-2,62,70,7/28/2022,,,,,
83_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,83,4,ACRE-Biomass,Late,y22,width-height,sampling-2,64,61,7/28/2022,,,,,
84_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,84,4,ACRE-Biomass,Late,y22,width-height,sampling-2,62,61,7/28/2022,,,,,
84_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,84,4,ACRE-Biomass,Late,y22,width-height,sampling-2,60,69,7/28/2022,,,,,
84_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,84,4,ACRE-Biomass,Late,y22,width-height,sampling-2,68,60,7/28/2022,,,,,
84_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,84,4,ACRE-Biomass,Late,y22,width-height,sampling-2,57,57,7/28/2022,,,,,
85_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,85,4,ACRE-Biomass,Late,y22,width-height,sampling-2,61,52,7/28/2022,,,,,
85_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,85,4,ACRE-Biomass,Late,y22,width-height,sampling-2,59,58,7/28/2022,,,,,
85_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,85,4,ACRE-Biomass,Late,y22,width-height,sampling-2,60,63,7/28/2022,,,,,
85_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,85,4,ACRE-Biomass,Late,y22,width-height,sampling-2,53,50,7/28/2022,,,,,
86_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,86,4,ACRE-Biomass,Late,y22,width-height,sampling-2,64,69,7/28/2022,,,,,
86_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,86,4,ACRE-Biomass,Late,y22,width-height,sampling-2,68,67,7/28/2022,,,,,
86_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,86,4,ACRE-Biomass,Late,y22,width-height,sampling-2,60,61,7/28/2022,,,,,
86_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,86,4,ACRE-Biomass,Late,y22,width-height,sampling-2,55,53,7/28/2022,,,,,
87_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,87,4,ACRE-Biomass,Late,y22,width-height,sampling-2,58,53,7/28/2022,,,,,
87_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,87,4,ACRE-Biomass,Late,y22,width-height,sampling-2,55,67,7/28/2022,,,,,
87_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,87,4,ACRE-Biomass,Late,y22,width-height,sampling-2,52,62,7/28/2022,,,,,
87_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,87,4,ACRE-Biomass,Late,y22,width-height,sampling-2,55,61,7/28/2022,,,,,
88_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,88,4,ACRE-Biomass,Late,y22,width-height,sampling-2,52,58,7/28/2022,,,,,
88_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,88,4,ACRE-Biomass,Late,y22,width-height,sampling-2,54,59,7/28/2022,,,,,
88_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,88,4,ACRE-Biomass,Late,y22,width-height,sampling-2,56,68,7/28/2022,,,,,
88_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,88,4,ACRE-Biomass,Late,y22,width-height,sampling-2,59,60,7/28/2022,,,,,
89_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,89,4,ACRE-Biomass,Late,y22,width-height,sampling-2,51,51,7/28/2022,,,,,
89_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,89,4,ACRE-Biomass,Late,y22,width-height,sampling-2,47,69,7/28/2022,,,,,
