id_observation,observation_name,plot,rep,experiment,treatment,season,measurment,sampling_identifier,Height (cm),Width (cm),Date Of Measurement,picture_Plot,picture_Experiment,notes_Plot,audio
45_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,45,2,ACRE-Biomass,Late,y22,width-height,sampling-1,33,42,7/19/2022,,,,
45_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,45,2,ACRE-Biomass,Late,y22,width-height,sampling-1,36.5,43,7/19/2022,,,,
45_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,45,2,ACRE-Biomass,Late,y22,width-height,sampling-1,34,46,7/19/2022,,,,
45_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,45,2,ACRE-Biomass,Late,y22,width-height,sampling-1,32,51,7/19/2022,,,,
46_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,46,2,ACRE-Biomass,Late,y22,width-height,sampling-1,40,44,7/19/2022,,,,
46_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,46,2,ACRE-Biomass,Late,y22,width-height,sampling-1,35,50,7/19/2022,,,,
46_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,46,2,ACRE-Biomass,Late,y22,width-height,sampling-1,32,49,7/19/2022,,,,
46_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,46,2,ACRE-Biomass,Late,y22,width-height,sampling-1,29,47,7/19/2022,,,,
47_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,47,2,ACRE-Biomass,Late,y22,width-height,sampling-1,41,50,7/19/2022,,,,
47_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,47,2,ACRE-Biomass,Late,y22,width-height,sampling-1,38,48,7/19/2022,,,,
47_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,47,2,ACRE-Biomass,Late,y22,width-height,sampling-1,34,45,7/19/2022,,,,
47_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,47,2,ACRE-Biomass,Late,y22,width-height,sampling-1,38,41,7/19/2022,,,,
48_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,48,2,ACRE-Biomass,Late,y22,width-height,sampling-1,41,59,7/19/2022,,,,
48_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,48,2,ACRE-Biomass,Late,y22,width-height,sampling-1,40,45,7/19/2022,,,,
48_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,48,2,ACRE-Biomass,Late,y22,width-height,sampling-1,39,47,7/19/2022,,,,
48_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,48,2,ACRE-Biomass,Late,y22,width-height,sampling-1,49,57,7/19/2022,,,,
49_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,49,2,ACRE-Biomass,Late,y22,width-height,sampling-1,44,54,7/19/2022,,,,
49_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,49,2,ACRE-Biomass,Late,y22,width-height,sampling-1,36,51,7/19/2022,,,,
49_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,49,2,ACRE-Biomass,Late,y22,width-height,sampling-1,39.5,47,7/19/2022,,,,
49_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,49,2,ACRE-Biomass,Late,y22,width-height,sampling-1,39,55,7/19/2022,,,,
50_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,50,2,ACRE-Biomass,Late,y22,width-height,sampling-1,39.5,43,7/19/2022,,,,
50_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,50,2,ACRE-Biomass,Late,y22,width-height,sampling-1,37,46,7/19/2022,,,,
50_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,50,2,ACRE-Biomass,Late,y22,width-height,sampling-1,36,40,7/19/2022,,,,
50_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,50,2,ACRE-Biomass,Late,y22,width-height,sampling-1,43,46,7/19/2022,,,,
51_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,51,3,ACRE-Biomass,Late,y22,width-height,sampling-1,44,45,7/19/2022,,,,
51_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,51,3,ACRE-Biomass,Late,y22,width-height,sampling-1,40,47,7/19/2022,,,,
51_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,51,3,ACRE-Biomass,Late,y22,width-height,sampling-1,34,49,7/19/2022,,,,
51_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,51,3,ACRE-Biomass,Late,y22,width-height,sampling-1,38,51,7/19/2022,,,,
52_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,52,3,ACRE-Biomass,Late,y22,width-height,sampling-1,41,46,7/19/2022,,,,
52_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,52,3,ACRE-Biomass,Late,y22,width-height,sampling-1,41,50,7/19/2022,,,,
52_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,52,3,ACRE-Biomass,Late,y22,width-height,sampling-1,33,45,7/19/2022,,,,
52_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,52,3,ACRE-Biomass,Late,y22,width-height,sampling-1,33,51,7/19/2022,,,,
53_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,53,3,ACRE-Biomass,Late,y22,width-height,sampling-1,42,43,7/19/2022,,,,
53_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,53,3,ACRE-Biomass,Late,y22,width-height,sampling-1,56,35,7/19/2022,,,,
53_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,53,3,ACRE-Biomass,Late,y22,width-height,sampling-1,37,43,7/19/2022,,,,
53_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,53,3,ACRE-Biomass,Late,y22,width-height,sampling-1,40,41,7/19/2022,,,,
54_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,54,3,ACRE-Biomass,Late,y22,width-height,sampling-1,38.5,48,7/19/2022,,,,
54_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,54,3,ACRE-Biomass,Late,y22,width-height,sampling-1,30.5,53,7/19/2022,,,,
54_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,54,3,ACRE-Biomass,Late,y22,width-height,sampling-1,38,48,7/19/2022,,,,
54_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,54,3,ACRE-Biomass,Late,y22,width-height,sampling-1,28,42,7/19/2022,,,,
55_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,55,3,ACRE-Biomass,Late,y22,width-height,sampling-1,34,51,7/19/2022,,,,
55_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,55,3,ACRE-Biomass,Late,y22,width-height,sampling-1,42.5,45,7/19/2022,,,,
55_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,55,3,ACRE-Biomass,Late,y22,width-height,sampling-1,34,48,7/19/2022,,,,
55_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,55,3,ACRE-Biomass,Late,y22,width-height,sampling-1,39,46,7/19/2022,,,,
56_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,56,3,ACRE-Biomass,Late,y22,width-height,sampling-1,38,46,7/19/2022,,,,
56_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,56,3,ACRE-Biomass,Late,y22,width-height,sampling-1,34,45.5,7/19/2022,,,,
56_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,56,3,ACRE-Biomass,Late,y22,width-height,sampling-1,33,39,7/19/2022,,,,
56_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,56,3,ACRE-Biomass,Late,y22,width-height,sampling-1,36,44,7/19/2022,,,,
57_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,57,3,ACRE-Biomass,Late,y22,width-height,sampling-1,32,53,7/19/2022,,,,
57_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,57,3,ACRE-Biomass,Late,y22,width-height,sampling-1,34.5,45,7/19/2022,,,,
57_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,57,3,ACRE-Biomass,Late,y22,width-height,sampling-1,32.5,58,7/19/2022,,,,
57_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,57,3,ACRE-Biomass,Late,y22,width-height,sampling-1,32,52,7/19/2022,,,,
58_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,58,3,ACRE-Biomass,Late,y22,width-height,sampling-1,42,51,7/19/2022,,,,
58_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,58,3,ACRE-Biomass,Late,y22,width-height,sampling-1,37,46,7/19/2022,,,,
58_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,58,3,ACRE-Biomass,Late,y22,width-height,sampling-1,35,54,7/19/2022,,,,
58_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,58,3,ACRE-Biomass,Late,y22,width-height,sampling-1,29.5,45,7/19/2022,,,,
59_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,59,3,ACRE-Biomass,Late,y22,width-height,sampling-1,33,,7/19/2022,,,,
59_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,59,3,ACRE-Biomass,Late,y22,width-height,sampling-1,37,,7/19/2022,,,,
59_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,59,3,ACRE-Biomass,Late,y22,width-height,sampling-1,33,,7/19/2022,,,,
59_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,59,3,ACRE-Biomass,Late,y22,width-height,sampling-1,35,52,7/19/2022,,,,
60_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,60,3,ACRE-Biomass,Late,y22,width-height,sampling-1,,48,7/19/2022,,,,
60_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,60,3,ACRE-Biomass,Late,y22,width-height,sampling-1,,50,7/19/2022,,,,
60_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,60,3,ACRE-Biomass,Late,y22,width-height,sampling-1,,49,7/19/2022,,,,
60_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,60,3,ACRE-Biomass,Late,y22,width-height,sampling-1,44,,7/19/2022,,,,
61_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,61,3,ACRE-Biomass,Late,y22,width-height,sampling-1,39,42,7/19/2022,,,,
61_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,61,3,ACRE-Biomass,Late,y22,width-height,sampling-1,44,48,7/19/2022,,,,
61_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,61,3,ACRE-Biomass,Late,y22,width-height,sampling-1,30,53,7/19/2022,,,,
61_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,61,3,ACRE-Biomass,Late,y22,width-height,sampling-1,38,50,7/19/2022,,,,
62_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,62,3,ACRE-Biomass,Late,y22,width-height,sampling-1,33,50,7/19/2022,,,,
62_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,62,3,ACRE-Biomass,Late,y22,width-height,sampling-1,32,48,7/19/2022,,,,
62_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,62,3,ACRE-Biomass,Late,y22,width-height,sampling-1,35,49,7/19/2022,,,,
62_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,62,3,ACRE-Biomass,Late,y22,width-height,sampling-1,41,46,7/19/2022,,,,
63_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,63,3,ACRE-Biomass,Late,y22,width-height,sampling-1,42,48,7/19/2022,,,,
63_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,63,3,ACRE-Biomass,Late,y22,width-height,sampling-1,41,46,7/19/2022,,,,
63_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,63,3,ACRE-Biomass,Late,y22,width-height,sampling-1,41,43,7/19/2022,,,,
63_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,63,3,ACRE-Biomass,Late,y22,width-height,sampling-1,44,53,7/19/2022,,,,
64_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,64,3,ACRE-Biomass,Late,y22,width-height,sampling-1,34,45,7/19/2022,,,,
64_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,64,3,ACRE-Biomass,Late,y22,width-height,sampling-1,36,46,7/19/2022,,,,
64_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,64,3,ACRE-Biomass,Late,y22,width-height,sampling-1,36,53,7/19/2022,,,,
64_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,64,3,ACRE-Biomass,Late,y22,width-height,sampling-1,29,55,7/19/2022,,,,
65_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,65,3,ACRE-Biomass,Late,y22,width-height,sampling-1,34,44,7/19/2022,,,,
65_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,65,3,ACRE-Biomass,Late,y22,width-height,sampling-1,35,45,7/19/2022,,,,
65_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,65,3,ACRE-Biomass,Late,y22,width-height,sampling-1,32,54,7/19/2022,,,,
65_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,65,3,ACRE-Biomass,Late,y22,width-height,sampling-1,37,40,7/19/2022,,,,
66_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,66,3,ACRE-Biomass,Late,y22,width-height,sampling-1,42,49,7/19/2022,,,,
66_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,66,3,ACRE-Biomass,Late,y22,width-height,sampling-1,43,45,7/19/2022,,,,
66_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,66,3,ACRE-Biomass,Late,y22,width-height,sampling-1,28,49,7/19/2022,,,,
66_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,66,3,ACRE-Biomass,Late,y22,width-height,sampling-1,37,48,7/19/2022,,,,
67_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,67,3,ACRE-Biomass,Late,y22,width-height,sampling-1,34,51,7/19/2022,,,,
67_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,67,3,ACRE-Biomass,Late,y22,width-height,sampling-1,32,50,7/19/2022,,,,
67_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,67,3,ACRE-Biomass,Late,y22,width-height,sampling-1,39,46,7/19/2022,,,,
67_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,67,3,ACRE-Biomass,Late,y22,width-height,sampling-1,42,41,7/19/2022,,,,
68_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,68,3,ACRE-Biomass,Late,y22,width-height,sampling-1,38,50,7/19/2022,,,,
68_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,68,3,ACRE-Biomass,Late,y22,width-height,sampling-1,34,54,7/19/2022,,,,
68_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,68,3,ACRE-Biomass,Late,y22,width-height,sampling-1,42,57,7/19/2022,,,,
68_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,68,3,ACRE-Biomass,Late,y22,width-height,sampling-1,37,51,7/19/2022,,,,
69_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,69,3,ACRE-Biomass,Late,y22,width-height,sampling-1,39,51,7/19/2022,,,,
69_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,69,3,ACRE-Biomass,Late,y22,width-height,sampling-1,41,48,7/19/2022,,,,
69_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,69,3,ACRE-Biomass,Late,y22,width-height,sampling-1,45,52,7/19/2022,,,,
69_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,69,3,ACRE-Biomass,Late,y22,width-height,sampling-1,36,49,7/19/2022,,,,
70_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,70,3,ACRE-Biomass,Late,y22,width-height,sampling-1,28,41,7/19/2022,,,,
70_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,70,3,ACRE-Biomass,Late,y22,width-height,sampling-1,33,40,7/19/2022,,,,
70_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,70,3,ACRE-Biomass,Late,y22,width-height,sampling-1,31,50,7/19/2022,,,,
70_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,70,3,ACRE-Biomass,Late,y22,width-height,sampling-1,34,41,7/19/2022,,,,
71_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,71,3,ACRE-Biomass,Late,y22,width-height,sampling-1,34,48,7/19/2022,,,,
71_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,71,3,ACRE-Biomass,Late,y22,width-height,sampling-1,41,55,7/19/2022,,,,
71_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,71,3,ACRE-Biomass,Late,y22,width-height,sampling-1,44,52,7/19/2022,,,,
71_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,71,3,ACRE-Biomass,Late,y22,width-height,sampling-1,45,48,7/19/2022,,,,
72_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,72,3,ACRE-Biomass,Late,y22,width-height,sampling-1,38,46,7/19/2022,,,,
72_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,72,3,ACRE-Biomass,Late,y22,width-height,sampling-1,35,49,7/19/2022,,,,
72_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,72,3,ACRE-Biomass,Late,y22,width-height,sampling-1,33,44,7/19/2022,,,,
72_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,72,3,ACRE-Biomass,Late,y22,width-height,sampling-1,35,45,7/19/2022,,,,
73_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,73,3,ACRE-Biomass,Late,y22,width-height,sampling-1,42,50,7/19/2022,,,,
73_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,73,3,ACRE-Biomass,Late,y22,width-height,sampling-1,41,44,7/19/2022,,,,
73_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,73,3,ACRE-Biomass,Late,y22,width-height,sampling-1,44,56,7/19/2022,,,,
73_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,73,3,ACRE-Biomass,Late,y22,width-height,sampling-1,38,50,7/19/2022,,,,
74_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,74,3,ACRE-Biomass,Late,y22,width-height,sampling-1,42,46,7/19/2022,,,,
74_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,74,3,ACRE-Biomass,Late,y22,width-height,sampling-1,36,41,7/19/2022,,,,
74_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,74,3,ACRE-Biomass,Late,y22,width-height,sampling-1,37,47,7/19/2022,,,,
74_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,74,3,ACRE-Biomass,Late,y22,width-height,sampling-1,33,55,7/19/2022,,,,
75_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,75,3,ACRE-Biomass,Late,y22,width-height,sampling-1,40,46,7/19/2022,,,,
75_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,75,3,ACRE-Biomass,Late,y22,width-height,sampling-1,45,48,7/19/2022,,,,
75_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,75,3,ACRE-Biomass,Late,y22,width-height,sampling-1,42,47,7/19/2022,,,,
75_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,75,3,ACRE-Biomass,Late,y22,width-height,sampling-1,40,48,7/19/2022,,,,
76_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,76,4,ACRE-Biomass,Late,y22,width-height,sampling-1,40,42,7/19/2022,,,,
76_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,76,4,ACRE-Biomass,Late,y22,width-height,sampling-1,42,45,7/19/2022,,,,
76_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,76,4,ACRE-Biomass,Late,y22,width-height,sampling-1,38,45,7/19/2022,,,,
76_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,76,4,ACRE-Biomass,Late,y22,width-height,sampling-1,44,48,7/19/2022,,,,
77_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,77,4,ACRE-Biomass,Late,y22,width-height,sampling-1,49,46,7/19/2022,,,,
77_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,77,4,ACRE-Biomass,Late,y22,width-height,sampling-1,45,49,7/19/2022,,,,
77_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,77,4,ACRE-Biomass,Late,y22,width-height,sampling-1,43,49,7/19/2022,,,,
77_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,77,4,ACRE-Biomass,Late,y22,width-height,sampling-1,42,47,7/19/2022,,,,
78_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,78,4,ACRE-Biomass,Late,y22,width-height,sampling-1,48,53,7/19/2022,,,,
78_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,78,4,ACRE-Biomass,Late,y22,width-height,sampling-1,44,51,7/19/2022,,,,
78_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,78,4,ACRE-Biomass,Late,y22,width-height,sampling-1,38,54,7/19/2022,,,,
78_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,78,4,ACRE-Biomass,Late,y22,width-height,sampling-1,45,52,7/19/2022,,,,
79_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,79,4,ACRE-Biomass,Late,y22,width-height,sampling-1,35,44,7/19/2022,,,,
79_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,79,4,ACRE-Biomass,Late,y22,width-height,sampling-1,34,46,7/19/2022,,,,
79_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,79,4,ACRE-Biomass,Late,y22,width-height,sampling-1,38,48,7/19/2022,,,,
79_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,79,4,ACRE-Biomass,Late,y22,width-height,sampling-1,42,46,7/19/2022,,,,
80_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,80,4,ACRE-Biomass,Late,y22,width-height,sampling-1,35,54,7/19/2022,,,,
80_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,80,4,ACRE-Biomass,Late,y22,width-height,sampling-1,37,51,7/19/2022,,,,
80_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,80,4,ACRE-Biomass,Late,y22,width-height,sampling-1,43,56,7/19/2022,,,,
80_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,80,4,ACRE-Biomass,Late,y22,width-height,sampling-1,39,49,7/19/2022,,,,
81_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,81,4,ACRE-Biomass,Late,y22,width-height,sampling-1,41,48,7/19/2022,,,,
81_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,81,4,ACRE-Biomass,Late,y22,width-height,sampling-1,43,47,7/19/2022,,,,
81_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,81,4,ACRE-Biomass,Late,y22,width-height,sampling-1,32,48,7/19/2022,,,,
81_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,81,4,ACRE-Biomass,Late,y22,width-height,sampling-1,40,44,7/19/2022,,,,
82_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,82,4,ACRE-Biomass,Late,y22,width-height,sampling-1,35,47,7/19/2022,,,,
82_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,82,4,ACRE-Biomass,Late,y22,width-height,sampling-1,29,48,7/19/2022,,,,
82_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,82,4,ACRE-Biomass,Late,y22,width-height,sampling-1,38,47,7/19/2022,,,,
82_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,82,4,ACRE-Biomass,Late,y22,width-height,sampling-1,39,48,7/19/2022,,,,
83_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,83,4,ACRE-Biomass,Late,y22,width-height,sampling-1,45,54,7/19/2022,,,,
83_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,83,4,ACRE-Biomass,Late,y22,width-height,sampling-1,40,57,7/19/2022,,,,
83_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,83,4,ACRE-Biomass,Late,y22,width-height,sampling-1,43,53,7/19/2022,,,,
83_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,83,4,ACRE-Biomass,Late,y22,width-height,sampling-1,43,56,7/19/2022,,,,
84_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,84,4,ACRE-Biomass,Late,y22,width-height,sampling-1,33,41,7/19/2022,,,,
84_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,84,4,ACRE-Biomass,Late,y22,width-height,sampling-1,37,47,7/19/2022,,,,
84_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,84,4,ACRE-Biomass,Late,y22,width-height,sampling-1,31,45,7/19/2022,,,,
84_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,84,4,ACRE-Biomass,Late,y22,width-height,sampling-1,39,52,7/19/2022,,,,
85_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,85,4,ACRE-Biomass,Late,y22,width-height,sampling-1,31,40,7/19/2022,,,,
85_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,85,4,ACRE-Biomass,Late,y22,width-height,sampling-1,40,41,7/19/2022,,,,
85_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,85,4,ACRE-Biomass,Late,y22,width-height,sampling-1,32,53,7/19/2022,,,,
85_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,85,4,ACRE-Biomass,Late,y22,width-height,sampling-1,28,44,7/19/2022,,,,
86_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,86,4,ACRE-Biomass,Late,y22,width-height,sampling-1,40,40,7/19/2022,,,,
86_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,86,4,ACRE-Biomass,Late,y22,width-height,sampling-1,33,47,7/19/2022,,,,
86_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,86,4,ACRE-Biomass,Late,y22,width-height,sampling-1,41,45,7/19/2022,,,,
86_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,86,4,ACRE-Biomass,Late,y22,width-height,sampling-1,39,53,7/19/2022,,,,
87_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,87,4,ACRE-Biomass,Late,y22,width-height,sampling-1,34,47,7/19/2022,,/storage/emulated/0/plot_data/width-height_1_ACRE-Biomass_Late_y22/photos/87_a_ACRE-Biomass_Late_y22_width-height_sampling-1_picture_Experiment_1_2022-07-19-10-30-00.jpg,,
87_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,87,4,ACRE-Biomass,Late,y22,width-height,sampling-1,37,52,7/19/2022,,,,
87_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,87,4,ACRE-Biomass,Late,y22,width-height,sampling-1,34,51,7/19/2022,,,,
87_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,87,4,ACRE-Biomass,Late,y22,width-height,sampling-1,33,50,7/19/2022,,,,
88_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,88,4,ACRE-Biomass,Late,y22,width-height,sampling-1,36,43,7/19/2022,,,,
88_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,88,4,ACRE-Biomass,Late,y22,width-height,sampling-1,43,40,7/19/2022,,,,
88_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,88,4,ACRE-Biomass,Late,y22,width-height,sampling-1,35,42,7/19/2022,,,,
88_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,88,4,ACRE-Biomass,Late,y22,width-height,sampling-1,35,50,7/19/2022,,,,
89_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,89,4,ACRE-Biomass,Late,y22,width-height,sampling-1,33,47,7/19/2022,,,,
89_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,89,4,ACRE-Biomass,Late,y22,width-height,sampling-1,34,49,7/19/2022,,,,
89_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,89,4,ACRE-Biomass,Late,y22,width-height,sampling-1,33,46,7/19/2022,,,,
