id_observation,observation_name,plot,rep,experiment,treatment,season,measurment,sampling_identifier,Height (cm),Width (cm),picture_Plot,picture_Experiment,Date Of Measurement,notes_Plot
83_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,83,4,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,43.18,,,7/12/2022,
83_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,83,4,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,36.83,,,7/12/2022,
84_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,84,4,ACRE-Biomass,Early,y22,width-height,sampling-1,33.02,39.37,,,7/12/2022,
84_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,84,4,ACRE-Biomass,Early,y22,width-height,sampling-1,34.29,41.91,,,7/12/2022,
85_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,85,4,ACRE-Biomass,Early,y22,width-height,sampling-1,27.94,43.18,,,7/12/2022,
85_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,85,4,ACRE-Biomass,Early,y22,width-height,sampling-1,27.94,49.53,,,7/12/2022,
86_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,86,4,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,44.45,,,7/12/2022,
86_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,86,4,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,43.18,,,7/12/2022,
87_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,87,4,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,46.99,,,7/12/2022,
87_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,87,4,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,39.37,,,7/12/2022,
88_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,88,4,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,50.8,,,7/12/2022,
88_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,88,4,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,48.26,,,7/12/2022,
89_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,89,4,ACRE-Biomass,Early,y22,width-height,sampling-1,29.21,46.99,,,7/12/2022,
89_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,89,4,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,39.37,,,7/12/2022,
90_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,90,4,ACRE-Biomass,Early,y22,width-height,sampling-1,15.24,40.64,,,7/12/2022,
90_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,90,4,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,43.18,,,7/12/2022,
91_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,91,4,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,38.1,,,7/12/2022,
91_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,91,4,ACRE-Biomass,Early,y22,width-height,sampling-1,26.67,43.18,,,7/12/2022,
92_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,92,4,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,35.56,,,7/12/2022,
92_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,92,4,ACRE-Biomass,Early,y22,width-height,sampling-1,17.78,44.45,,,7/12/2022,
93_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,93,4,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,40.64,,,7/12/2022,
93_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,93,4,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,41.91,,,7/12/2022,
94_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,94,4,ACRE-Biomass,Early,y22,width-height,sampling-1,29.21,46.99,,,7/12/2022,
94_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,94,4,ACRE-Biomass,Early,y22,width-height,sampling-1,29.21,43.18,,,7/12/2022,
95_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,95,4,ACRE-Biomass,Early,y22,width-height,sampling-1,17.78,44.45,/storage/emulated/0/plot_data/width-height_1_ACRE-Biomass_Early_y22/photos/95_a_ACRE-Biomass_Early_y22_width-height_sampling-1_picture_Plot_1_2022-07-12-06-01-03.jpg,,7/12/2022,
95_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,95,4,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,36.83,,,7/12/2022,
96_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,96,4,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,35.56,,,7/12/2022,
96_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,96,4,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,36.83,,,7/12/2022,
97_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,97,4,ACRE-Biomass,Early,y22,width-height,sampling-1,29.21,35.56,,,7/12/2022,
97_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,97,4,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,43.18,,,7/12/2022,
98_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,98,4,ACRE-Biomass,Early,y22,width-height,sampling-1,26.67,40.64,,,7/12/2022,
98_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,98,4,ACRE-Biomass,Early,y22,width-height,sampling-1,26.67,45.72,,,7/12/2022,
99_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,99,4,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,38.1,,,7/12/2022,
99_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,99,4,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,33.02,,,7/12/2022,
100_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,100,4,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,40.64,,,7/12/2022,
100_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,100,4,ACRE-Biomass,Early,y22,width-height,sampling-1,26.67,43.18,,,7/12/2022,
